Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Ticker- Total Return,Bloomberg Ticker- Net Return,Bloomberg Ticker- Price Return,RIC Code - Total Return,RIC Code - Net Return,RIC Codes - Price Return
S,FTSE EPRA Nareit Developed Green Target Net Tax Index,FENDGTN,USD,PDG110,-,-,-,-,.TRIFENDGTN,-
S,FTSE Asia Pacific Low Carbon Select Net Tax Index,GPCSP007,USD,PDG101,-,GPCSP7UR,-,-,.TRIGPCSP007,-
P,FTSE ADX Growth Market Index,FADGMI,AED,PDG4,-,-,-,-,-,.FTFADGMI
S,FTSE 100 Total Return Declared Dividend Expiry Index,UKXDUKSP,GBP,PDG101,-,-,-,.TRIUKXDUKSP,-,.FTUKXDUKSP
P,FTSE Bursa Malaysia Top 100 ESG Low Carbon Select Index,FBM100LC,MYR,PDG16,-,-,-,-,-,.FTFBM100LC
P,FTSE Bursa Malaysia Top 100 ESG Low Carbon Select Shariah Index,FBM100LS,MYR,PDG16,-,-,-,-,-,.FTFBM100LS
S,FTSE EPRA Nareit Developed Asia Pacific Select Index REITs Net Tax Index,ERGLARN,HDK,PDG101,-,ERGLARN,-,-,.TRIERGLARN,-
S,FTSE Green Revenues Select Infrastructure and Industrials Index,GDXKGRSC,USD,PDG101,GDXKGRT1,-,-,.TRIGDXKGRSC,-,.FTGDXKGRSC
S,FTSE Green Revenues Select Infrastructure and Industrials Net Tax Index,GDXKGRSN,USD,PDG101,-,GDXKGRN1,-,-,.TRIGDXKGRSN,-
P,FTSE Iceland Index,WIISL,ISK,PDG1,-,-,-,-,-,.FTWIISL
S,FTSE Eurozone Insurance Select Net Tax Index ,,EUR,PDG101,-,INSEUN,-,-,.TRIAWEBIN,-
S,FTSE Eurozone Oil & Gas Select Net Tax Index,AWEBOGN,EUR,PDG101,-,OILEUN,-,-,.TRIAWEBOGN,-
S,FTSE Eurozone Banks Select Net Tax Index,AWEBBN,EUR,PDG101,-,BANEUN,-,-,.TRIAWEBBN,-
S,FTSE Eurozone Insurance Select Index,AWEBI,EUR,PDG101,INSEU,-,INSEUP,.TRIAWEBI,-,.FTAWEBI
S,FTSE Eurozone Oil & Gas Select Index,AWEBOG,EUR,PDG101,OILEU,-,OILEUP,.TRIAWEBOG,-,.FTAWEBOG
S,FTSE Eurozone Banks Select Index,AWEBB,EUR,PDG101,BANEU,-,BANEUP,.TRIAWEBB,-,.FTAWEBB
S,FTSE Eni Index ,,EUR,PDG101,SSENI,-,-,.TRI,-,.FT
