Pulsed/ Streaming,Index Name,Base Currency,PDG,Availability,RussellTick,Bloomberg Ticker,Refinitiv RIC,,,
S,Russell 1000 Telecommunications RIC 22.5/45 Capped Index,USD,PDG01RR,Real Time,RIYZC,-,.RIYZC,,,
S,Russell 1000 Telecommunications RIC 22.5/45 Capped Total Return Index,USD,PDG01RR,Real Time,RIYZCT,RIYZC1,.RIYZCT,,,
S,Russell 1000 Tobacco Sector Index,USD,PDG01RR,Real Time,R1ICBTOB,-,.R1ICBTOB,,,
S,Russell 1000 Tobacco Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBTOBT,-,.R1ICBTOBT,,,
S,Russell 1000 Travel and Leisure Sector Index,USD,PDG01RR,Real Time,R1ICBTVL,-,.R1ICBTVL,,,
S,Russell 1000 Travel and Leisure Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBTVLT,-,.R1ICBTVLT,,,
S,Russell 1000 Travel and Leisure Supersector Index,USD,PDG01RR,Real Time,R1ICBTLE,-,.R1ICBTLE,,,
S,Russell 1000 Travel and Leisure Supersector Index - Total Return,USD,PDG01RR,Real Time,R1ICBTLET,-,.R1ICBTLET,,,
S,Russell 1000 Utilities Industry Index,USD,PDG01RR,Real Time,R1ICBUT,-,.R1ICBUT,,,
S,Russell 1000 Utilities RIC 22.5/45 Capped Index,USD,PDG01RR,Real Time,RIDUC,-,.RIDUC,,,
S,Russell 1000 Utilities RIC 22.5/45 Capped Total Return Index,USD,PDG01RR,Real Time,RIDUCT,RIDUC1,.RIDUCT,,,
S,Russell 1000 Utilities Supersector Index,USD,PDG01RR,Real Time,R1ICBUTI,-,.R1ICBUTI,,,
S,Russell 1000®,USD,PDG01RR,Real Time,RUI,RIY,.RUI,,,
S,Russell 1000® Defensive Index,USD,PDG01RR,Real Time,RU1000DF,RU1000DF,.RU1000DF,,,
S,Russell 1000® Dividend Growth Index,USD,PDG01RR,Real Time,R1DIVGRO,-,.R1DIVGRO,,,
