Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Tickers,RIC Codes
S,FTSE Eurozone Ex-Bank of Italy BTPi (Mid Price) Index,xBOIBTPiGMP,EUR,PDG01MTS,-,FMMPITLR= 
S,FTSE Eurozone Ex-Bank of Italy CCT (Mid Price) Index,xBOICCTGMP,EUR,PDG01MTS,-,FMMPCCTR= 
S,FTSE Eurozone Ex-Bank of Italy CTZ (Mid Price) Index,xBOICTZGMP,EUR,PDG01MTS,-,FMMPCTZR= 
S,FTSE Eurozone Italy Treasury BOT 6M Realtime,xMTSA_BOT6m,EUR,PDG01MTS,MTSI6R,MTSI6R= 
S,FTSE Eurozone FTSE Italy Short Term - Fixed Coupon Index Index Value Real Time,xMTSA_breve,EUR,PDG01MTS,MTSISR,MTSISR= 
S,FTSE Eurozone FTSE Italy General - Fixed Coupon Index Index Value Real Time,xMTSA_generale,EUR,PDG01MTS,MTSIGNR,-
S,FTSE Eurozone FTSE Italy Long Term - Fixed Coupon Index Index Value Real Time,xMTSA_lungo,EUR,PDG01MTS,MTSILR,MTSILR= 
S,FTSE Eurozone FTSE Italy Medium Term - Fixed Coupon Index Index Value Real Time,xMTSA_medio,EUR,PDG01MTS,MTSIMR,MTSIMR= 
S,FTSE Eurozone FTSE Italy - Monetary Rate Index Index Value Real Time,xMTSA_monetario,EUR,PDG01MTS,MTSITR,-
S,FTSE Eurozone FTSE Italy - STIR Index Index Value Real Time,xMTSA_stir_G,EUR,PDG01MTS,MTSISTR,MTSISTR= 
S,FTSE Eurozone FTSE Italy - Variable Rate Index Index Value Real Time,xMTSA_variable,EUR,PDG01MTS,MTSIVR,-
S,FTSE Eurozone Italy General - Fixed Coupon Index,xMTSAgeneral,EUR,PDG01MTS,-,MTSIGNR= 
S,FTSE Eurozone Italy - Monetary Rate Index,xMTSAmonetar,EUR,PDG01MTS,-,MTSITR= 
S,FTSE Eurozone Italy - Variable Rate Index,xMTSAvariabl,EUR,PDG01MTS,-,MTSIVR= 
